gene,type,treat_numeric,mean,n,sd,se
F,random,0.25,20.4233333333333,9,0.463869593743759,0.154623197914586
F,random,0.5,19.6522222222222,9,0.613061533978804,0.204353844659601
F,random,0.75,14.5422222222222,9,3.5370354033349,1.17901180111163
F,random,1,12.2666666666667,9,4.74554001142125,1.58184667047375
F,random,1.25,13.2355555555556,9,2.21293984956161,0.737646616520538
F,shuffle,0.25,20.4655555555556,9,0.816564619474649,0.27218820649155
F,shuffle,0.5,19.2244444444444,9,0.896648079113415,0.298882693037805
F,shuffle,0.75,17.5833333333333,9,2.04244338966836,0.680814463222788
F,shuffle,1,14.8077777777778,9,1.21917777392981,0.406392591309936
F,shuffle_Hi,0.5,19.3478947368421,19,1.1549967722291,0.26497443211907
F,shuffle_Lo,0.5,18.9966666666667,12,0.625377461775662,0.180530922950652
F,worst,0.25,19.5041666666667,12,1.43926406910131,0.415479748865299
F,worst,0.5,17.5258333333333,12,2.16358481285672,0.624573137058707
F,worst,0.75,11.2,9,1.91599191021257,0.638663970070856
F,worst,1,7.72333333333333,3,1.10369077795066,0.637216167751921
G,random,0.25,19.9488888888889,9,1.168379694753,0.389459898251
G,random,0.5,15.19,9,5.84160080799775,1.94720026933258
G,random,0.75,14.8655555555556,9,2.45381901895347,0.81793967298449
G,random,1,10.0733333333333,9,6.38192369117651,2.12730789705884
G,random,1.25,13.3933333333333,9,2.67777893038242,0.892592976794139
G,shuffle,0.25,19.1611111111111,9,1.68978877706982,0.563262925689939
G,shuffle,0.5,18.02,6,2.35493524327103,0.961398287218501
G,shuffle,0.75,7.665,6,2.32574074221526,0.949479682071537
G,shuffle,1,6.495,6,5.89495971148234,2.40660722456601
G,shuffle_Hi,0.5,14.03,12,5.3515418339017,1.54485705919135
G,shuffle_Lo,0.5,16.1944444444444,9,4.16873815174062,1.38957938391354
G,worst,0.25,18.7111111111111,9,1.51923043384179,0.50641014461393
G,worst,0.5,16.6566666666667,9,2.47179084875723,0.823930282919077
G,worst,0.75,9.94111111111111,9,2.70240376537465,0.900801255124885
G,worst,1,17.47,3,0.589236794506249,0.340196021924615
H,random,0.25,21.0322222222222,9,0.561711175288907,0.187237058429636
H,random,0.5,20.39,3,0.798310716450681,0.460904907039764
H,random,0.75,19.02,6,1.08040733059342,0.44107444571939
H,random,1,16.6283333333333,6,0.503087136256401,0.205384463331036
H,random,1.25,15.9866666666667,6,0.288282269081305,0.117690743523486
H,shuffle,0.25,20.4544444444444,9,0.890591251797241,0.29686375059908
H,shuffle,0.5,21.4283333333333,6,1.25913329980057,0.514039017109705
H,shuffle,0.75,20.419,10,0.629010687066956,0.1989106443719
H,shuffle,1,19.2744444444444,9,1.26223126952939,0.420743756509797
H,shuffle_Hi,0.5,21.5033333333333,12,0.846203643374694,0.244277950645811
H,shuffle_Lo,0.5,21.9125,12,1.33018881093147,0.383992434032156
H,worst,0.25,16.865,6,4.59569690036234,1.876185403063
H,worst,0.5,18.6244444444444,9,1.89995467782202,0.633318225940673
H,worst,0.75,18.9711111111111,9,1.87626253789578,0.62542084596526
H,worst,1,18.1733333333333,3,0.797642359289759,0.460519030852991
wt,wt,0,20.3508219178082,73,1.24088986151142,0.145235172935344
